Date,Close
1/13/2025,94536.1
1/14/2025,96560.86
1/15/2025,100497.35
1/16/2025,99987.3
1/17/2025,104077.48
1/18/2025,104556.23
1/19/2025,101331.57
1/20/2025,102260.01
1/21/2025,106143.82
1/22/2025,103706.66
1/23/2025,103910.34
1/24/2025,104870.5
1/25/2025,104746.85
1/26/2025,102620
1/27/2025,102082.83
1/28/2025,101335.52
1/29/2025,103733.24
1/30/2025,104722.94
1/31/2025,102429.56
2/1/2025,100635.65
2/2/2025,97700.59
2/3/2025,101328.52
2/4/2025,97763.13
2/5/2025,96612.43
2/6/2025,96554.35
2/7/2025,96506.8
2/8/2025,96444.74
2/9/2025,96462.75
2/10/2025,97430.82
2/11/2025,95778.2
2/12/2025,97869.99
2/13/2025,96608.14
2/14/2025,97500.48
2/15/2025,97569.66
2/16/2025,96118.12
2/17/2025,95780
2/18/2025,95671.74
2/19/2025,96644.37
2/20/2025,98305
2/21/2025,96181.98
2/22/2025,96551.01
2/23/2025,96258
2/24/2025,91552.88
2/25/2025,88680.4
2/26/2025,84250.09
2/27/2025,84708.58
2/28/2025,84349.94
3/1/2025,86064.53
3/2/2025,94270
3/3/2025,86220.61
3/4/2025,87281.98
3/5/2025,90606.01
3/6/2025,89931.89
3/7/2025,86801.75
3/8/2025,86222.45
3/9/2025,80734.37
3/10/2025,78595.86
3/11/2025,82932.99
3/12/2025,83680.12
3/13/2025,81115.78
3/14/2025,83983.2
3/15/2025,84338.44
3/16/2025,82574.53
3/17/2025,84010.03
3/18/2025,82715.03
3/19/2025,86845.94
3/20/2025,84223.39
3/21/2025,84088.79
3/22/2025,83840.59
3/23/2025,86082.5
3/24/2025,87498.16
3/25/2025,87392.87
3/26/2025,86909.17
3/27/2025,87232.01
3/28/2025,84424.38
3/29/2025,82648.54
3/30/2025,82389.99
3/31/2025,82550.01
4/1/2025,85158.34
4/2/2025,82516.29
4/3/2025,83213.09
4/4/2025,83889.87
4/5/2025,83537.99
4/6/2025,78430
4/7/2025,79163.24
4/8/2025,76322.42
4/9/2025,82615.22
4/10/2025,79607.3
4/11/2025,83423.84
4/12/2025,85276.9
4/13/2025,83760
4/14/2025,84591.58
4/15/2025,83643.99
4/16/2025,84030.38
4/17/2025,84947.91
4/18/2025,84474.69
4/19/2025,85077.01
4/20/2025,85179.24
4/21/2025,87516.23
4/22/2025,93442.99
4/23/2025,93691.08
4/24/2025,93980.47
4/25/2025,94638.68
4/26/2025,94628
4/27/2025,93749.3
4/28/2025,95011.18
4/29/2025,94256.82
4/30/2025,94172
5/1/2025,96489.91
5/2/2025,96887.14
5/3/2025,95856.42
5/4/2025,94277.62
5/5/2025,94733.68
5/6/2025,96834.02
5/7/2025,97030.5
5/8/2025,103261.6
5/9/2025,102971.99
5/10/2025,104809.53
5/11/2025,104118
5/12/2025,102791.32
5/13/2025,104103.72
5/14/2025,103507.82
5/15/2025,103763.71
5/16/2025,103463.9
5/17/2025,103126.65
5/18/2025,106454.26
5/19/2025,105573.74
5/20/2025,106849.99
5/21/2025,109643.99
5/22/2025,111696.21
5/23/2025,107318.3
5/24/2025,107761.91
5/25/2025,109004.19
5/26/2025,109434.79
5/27/2025,108938.17
5/28/2025,107781.78
5/29/2025,105589.75
5/30/2025,103985.48
5/31/2025,104591.88
6/1/2025,105642.93
6/2/2025,105857.99
6/3/2025,105376.89
6/4/2025,104696.86
6/5/2025,101508.68
6/6/2025,104288.44
6/7/2025,105552.15
6/8/2025,105734
6/9/2025,110263.02
6/10/2025,110274.39
6/11/2025,108645.12
6/12/2025,105671.73
6/13/2025,106066.59
6/14/2025,105414.64
6/15/2025,105594.01
6/16/2025,106794.53
6/17/2025,104551.17
6/18/2025,104886.78
6/19/2025,104658.59
6/20/2025,103297.99
6/21/2025,102120.01
6/22/2025,100963.87
6/23/2025,105333.93
6/24/2025,106083
6/25/2025,107340.58
6/26/2025,106947.06
6/27/2025,107047.59
6/28/2025,107296.79
6/29/2025,108356.93
6/30/2025,107146.5
7/1/2025,105681.14
7/2/2025,108849.6
7/3/2025,109584.78
7/4/2025,107984.24
7/5/2025,108064
7/6/2025,108036
7/7/2025,109476.98
7/8/2025,107722.34
7/9/2025,108823.61
7/10/2025,111279.22
7/11/2025,115789.71
7/12/2025,117646.37
7/13/2025,117420.29
7/14/2025,119177.83
7/15/2025,117989.89
7/16/2025,117519.27
7/17/2025,118299.21
7/18/2025,120138.99
7/19/2025,118000.7
7/20/2025,117884.29
7/21/2025,117884.28
7/22/2025,117453.46
7/23/2025,119308
7/24/2025,118944.89
7/25/2025,117100
7/26/2025,117266.98
7/27/2025,118150.38
7/28/2025,119494.04
7/29/2025,117919.49
7/30/2025,118021.87
7/31/2025,118172.36
8/1/2025,115760.31
8/2/2025,113751.5
8/3/2025,113368
8/4/2025,114811.96
8/5/2025,114664.83
8/6/2025,113679.97
8/7/2025,114769.7
8/8/2025,116788.74
8/9/2025,116506.38
8/10/2025,116734.75
8/11/2025,121459.83
8/12/2025,118968.74
8/13/2025,119274.59
8/14/2025,123568.65
8/15/2025,118749.03
8/16/2025,117666.79
8/17/2025,117407.92
8/18/2025,115802.33
8/19/2025,115760
8/20/2025,112962.01
8/21/2025,114665.14
8/22/2025,112840.09
8/23/2025,116425.33
8/24/2025,115601.93
8/25/2025,113199.99
8/26/2025,109856.01
8/27/2025,111295.21
8/28/2025,111652.47
8/29/2025,111472.82
8/30/2025,107912.97
8/31/2025,109439.43
9/1/2025,107949.22
9/2/2025,109326.01
9/3/2025,110961.93
9/4/2025,111844.46
9/5/2025,111053.72
9/6/2025,110187.97
9/7/2025,111137.34
9/8/2025,112065.23
9/9/2025,111546.39
9/10/2025,113960
9/11/2025,115482.69
9/12/2025,116029.42
9/13/2025,115918.29
9/14/2025,115268.01
9/15/2025,115349.71
9/16/2025,116788.96
9/17/2025,116447.59
9/18/2025,117073.53
9/19/2025,115632.38
9/20/2025,115685.63
9/21/2025,115232.29
9/22/2025,112650.99
9/23/2025,111998.8
9/24/2025,113307
9/25/2025,108994.49
9/26/2025,109643.46
9/27/2025,109635.85
9/28/2025,112163.95
9/29/2025,114311.96
9/30/2025,113065.08
10/1/2025,114289.52
10/2/2025,118592.06
10/3/2025,120221.91
10/4/2025,122091.01
10/5/2025,122244.41
10/6/2025,123584.95
10/7/2025,125046.94
10/8/2025,121832.92
10/9/2025,122700.8
10/10/2025,121786.26
10/11/2025,112143.65
10/12/2025,110039.84
10/13/2025,115283.65
10/14/2025,114711
10/15/2025,112726.98
10/16/2025,111005.02
10/17/2025,108980.44
10/18/2025,106951.59
10/19/2025,106939.99
10/20/2025,108016.9
10/21/2025,110152.11
10/22/2025,108051.58
10/23/2025,108315.03
10/24/2025,110550.48
10/25/2025,110876.15
10/26/2025,111730.75
10/27/2025,115028.72
10/28/2025,114246.57
10/29/2025,112321.57
10/30/2025,110556.01
10/31/2025,109769.71
11/1/2025,109732.33
11/2/2025,110008.49
11/3/2025,109807.89
11/4/2025,106590.18
11/5/2025,99887.41
11/6/2025,103073.39
11/7/2025,101792.38
11/8/2025,102987.19
11/9/2025,101937.71
11/10/2025,106291.42
11/11/2025,106899.99
11/12/2025,103250.73
11/13/2025,102200.28
11/14/2025,98834.01
11/15/2025,95127
11/16/2025,95373.46
11/17/2025,95018.68
11/18/2025,92093.99
11/19/2025,91965.44
11/20/2025,92213.11
11/21/2025,87166.96
11/22/2025,84681.63
11/23/2025,85455.47
11/24/2025,86650.89
11/25/2025,88154.99
11/26/2025,87534.38
11/27/2025,90653.52
11/28/2025,90884.82
11/29/2025,91042.63
11/30/2025,90929.44
12/1/2025,87305.65
12/2/2025,86707.08
12/3/2025,91768.39
12/4/2025,93397.1
12/5/2025,92449.92
12/6/2025,89382
12/7/2025,89459.22
12/8/2025,90762.3
12/9/2025,90544.55
12/10/2025,92375.89
12/11/2025,90850
12/12/2025,92016.99
12/13/2025,90323
12/14/2025,90415.9
12/15/2025,88752.91
12/16/2025,85987.82
12/17/2025,87744.28
12/18/2025,85921.72
12/19/2025,85367.99
12/20/2025,88114.17
12/21/2025,88293.72
12/22/2025,89066.97
12/23/2025,88587.53
12/24/2025,87686.45
12/25/2025,87665
12/26/2025,87332.71
12/27/2025,87343.24
12/28/2025,87805.51
12/29/2025,88014.12
12/30/2025,87273.23
12/31/2025,88637.12
1/1/2026,87875.23
1/2/2026,88732.02
1/3/2026,90186.43
1/4/2026,91104
1/5/2026,92947.65
1/6/2026,93955.99
1/7/2026,92531.14
1/8/2026,91429.1
1/9/2026,91179.27
1/10/2026,90641.3
1/11/2026,90580.62
1/12/2026,91459.11
1/13/2026,91386.33
